name,category,details_url,rating_stars,address,opening_status,corona_status,email,phone,website,book_a_table
Chez Philippe,"Restaurant, Steakhouse, Restaurants according to speciality",https://www.local.ch/en/d/geneve/1204/restaurant/chez-philippe-T6siDhVWMgbVTBNUmMBPCA?dwhat=Steakhouse&dwhere=Switzerland,4.7,"Rue du Rhône 8, 1204 Genève",Currently closed,,,022 316 16 16,http://www.chezphilippe.ch,
"Fédéral, Entrecôte Café","Steakhouse, Restaurants according to speciality, Restaurant",https://www.local.ch/en/d/bern/3011/steakhouse/federal-entrecote-cafe-v4a7Q920bywW91iP6KI-5A?dwhat=Steakhouse&dwhere=Switzerland,,"Bärenplatz 31, 3011 Bern",Currently closed,,info@entrecote.ch,031 311 16 24,http://www.entrecote.ch,
Fleisch am Chnoche,"Restaurant, Steakhouse, Restaurants according to speciality, Grill, Barbecue",https://www.local.ch/en/d/zollikerberg/8125/restaurant/fleisch-am-chnoche-3vEJXDS2mwqf7cfiiT6Rnw?dwhat=Steakhouse&dwhere=Switzerland,4.5,"Trichtenhausenstrasse 235, 8125 Zollikerberg",Currently closed,,,044 242 20 30,http://www.fleischamchnoche.ch,
Goldener Wagen Steakhouse,"Restaurant, Steakhouse, Restaurants according to speciality",https://www.local.ch/en/d/oberkirch-lu/6208/restaurant/goldener-wagen-steakhouse-UICOVLWFj6iAVVuiM2UsYw?dwhat=Steakhouse&dwhere=Switzerland,4.6,"Surenweidstrasse 1, 6208 Oberkirch LU",Currently closed,,info@goldenerwagen-steakhouse.ch,041 921 96 94,http://www.goldenerwagen-steakhouse.ch,
Goodwin The Steak House,"Steakhouse, Restaurants according to speciality, Restaurant, Grill, Barbecue, Bar, Cafés",https://www.local.ch/en/d/zuerich/8002/steakhouse/goodwin-the-steak-house-POyBXAcJPZMJuk_gP4MpcQ?dwhat=Steakhouse&dwhere=Switzerland,5.0,"Bleicherweg 64A, 8002 Zürich",Open now until 23:00,,,044 558 88 37,http://www.goodwin-steakhouse.ch,http://www.goodwin-steakhouse.ch/index.html
Grill Bill Baar,"Restaurant, Steakhouse, Restaurants according to speciality",https://www.local.ch/en/d/baar/6340/restaurant/grill-bill-baar-7_iPrKopAKtm_rDNXMqdwg?dwhat=Steakhouse&dwhere=Switzerland,4.6,"Blegistrasse 17B, 6340 Baar",Currently closed,,baar@grillbill.ch,041 760 95 00,http://www.grillbill.ch,
Croix-Verte,"Restaurant, Pizzeria, Italian cuisine, Restaurants according to speciality, Takeout",https://www.local.ch/en/d/nyon/1260/restaurant/croix-verte-46U64QUgR066MQt4eGdLyw?dwhat=Takeout&dwhere=Switzerland,4.2,"Rue Perdtemps 7, 1260 Nyon",Currently closed,,croixvertenyon@gmail.com,022 361 15 39,http://www.croixverte.ch,
A-NAM,"Thai cuisine, Restaurants according to speciality, Restaurant, Grocery store, Takeout, Caterer, Catering service, Banquet",https://www.local.ch/en/d/geneve/1205/thai-cuisine/a-nam-Vwi4UkCKJtKy-sXJBpBUvw?dwhat=Takeout&dwhere=Switzerland,4.7,"Boulevard de Saint-Georges 66, 1205 Genève",Currently closed,,,022 329 49 44,http://www.a-nam.ch,
Al Ponte - Restaurant Pizzeria Terrasse,"Restaurant, Pizzeria, Takeout, Banquet, Swiss cuisine, Restaurants according to speciality, Italian cuisine",https://www.local.ch/en/d/adliswil/8134/restaurant/al-ponte-restaurant-pizzeria-terrasse-OlwGf8T0Dya9-TQmqYqcFA?dwhat=Takeout&dwhere=Switzerland,4.9,"Kronenstrasse 4, 8134 Adliswil",Currently closed,,info@alponte-adliswil.ch,044 709 05 45,http://www.alponte-adliswil.ch,
Antipasti Coppet,"Restaurant, Pizzeria, Takeout, Italian cuisine, Restaurants according to speciality",https://www.local.ch/en/d/coppet/1296/restaurant/antipasti-coppet-Uw0GK686zlLQCpyO2BLXrA?dwhat=Takeout&dwhere=Switzerland,4.4,"Place des Perrières 2, 1296 Coppet",Currently closed,,,022 776 77 71,https://www.facebook.com/Restaurant-Pizzeria-Antipasti-Coppet-295515391111178,https://www.facebook.com/pg/Restaurant-Pizzeria-Antipasti-Coppet-295515391111178/about?ref=page_internal
Auberge de la Couronne,"Restaurant, Takeout, Pizzeria",https://www.local.ch/en/d/jussy/1254/restaurant/auberge-de-la-couronne-9u0XacgYMJZUiO1UoTrgKA?dwhat=Takeout&dwhere=Switzerland,4.5,"Route de Jussy 316, 1254 Jussy",Currently closed,,info@aubergecouronne.com,022 759 12 66,http://www.aubergecouronne.com,
Bäckerei-Konditorei Lehmann AG,"Bakery pastry shop, Takeout",https://www.local.ch/en/d/windisch/5210/bakery-pastry-shop/baeckerei-konditorei-lehmann-ag-PKuHS0f74fT5KBQASbtA6g?dwhat=Takeout&dwhere=Switzerland,5.0,"Zürcherstrasse 28, 5210 Windisch",Currently closed,,,056 442 16 71,http://www.baeckerei-lehmann.ch,
Bamboo Delivery,"Takeout, Thai cuisine, Restaurants according to speciality, Home delivery service",https://www.local.ch/en/d/erlenbach-zh/8703/takeout/bamboo-delivery-Xl1sMEDVuIz8e9wfMr01mw?dwhat=Takeout&dwhere=Switzerland,5.0,"Seestrasse 77, 8703 Erlenbach ZH",Currently closed,,,043 833 06 77,https://bamboo-delivery.ch/erlenbach/asiatisch,https://bamboo-delivery.ch/warenkorb
Bayleaf - Gourmet Indian Restaurant,"Indian cuisine, Restaurants according to speciality, Catering, Takeout, Restaurant",https://www.local.ch/en/d/basel/4055/indian-cuisine/bayleaf-gourmet-indian-restaurant-cpLItobp-4X0Epj-dyktEA?dwhat=Takeout&dwhere=Switzerland,4.7,"Spalenring 163, 4055 Basel",Currently closed,,Bayleaf163@gmail.com,061 271 03 47,http://www.bayleafrestaurant.ch,
Burger Brothers GmbH,"Restaurant, Takeout, Hamburger, American cuisine, Restaurants according to speciality",https://www.local.ch/en/d/zuerich/8048/restaurant/burger-brothers-gmbh-e0vtQ7bTtXsVIP3-7Z9IFw?dwhat=Takeout&dwhere=Switzerland,4.8,"Altstetterstrasse 147, 8048 Zürich",Currently closed,,,041 543 18 54,http://burgerbrothers.swiss,
Café Restaurant Domino GmbH,"Restaurant, Takeout, Catering",https://www.local.ch/en/d/bern/3011/restaurant/cafe-restaurant-domino-gmbh-90CwD1BTvvBBqjWO-grDGA?dwhat=Takeout&dwhere=Switzerland,4.3,"Schwanengasse 3, 3011 Bern",Currently closed,,restaurant_domino@outlook.com,031 311 41 91,http://www.domino-bern.ch,https://domino-bern.ch/reservationen-tisch-reservierung
Alimentarium,"Museum, Events, Restaurant, Cooking School cookery courses",https://www.local.ch/en/d/vevey/1800/museum/alimentarium-Y0EqzKjLY0AbklZ6kBR2aA?dwhat=Cooking+School+cookery+courses&dwhere=Switzerland,2.7,"Quai Perdonnet 25, 1800 Vevey",Currently closed,,,021 924 41 11,http://www.alimentarium.org,https://alimentarium.shop.secutix.com/list/otherProducts?lang=fr&_ga=2.25753917.1611058144.1526548108-279784462.1526548108
Jane Fine Food,"Cooking School cookery courses, Catering, Catering service",https://www.local.ch/en/d/zuerich/8003/cooking-school-cookery-courses/jane-fine-food-YenYf0HF1NebzWXSu1TFAA?dwhat=Cooking+School+cookery+courses&dwhere=Switzerland,4.9,"Erlachstrasse 46, 8003 Zürich",,,,079 759 81 15,http://www.janefinefood.com,
Bio-Medica Fachschule für Massage TCM,"Vocational college, Health and sports massage, Foot reflexology and massage, Reflexology, Naturopathy, Private school, Dorn-Breuss therapy, Acupuncture (not included in category doctors), Alternative Therapy, Chinese medicine TCM, Acupressure, Massage school, University of applied sciences, Continuation of one's education, Feng Shui, Dietary advice, Complementary therapy, Seminar, Cooking School cookery courses, Medical massage, Lymphatic Drainage, Thai massage, Manual therapy, Cupping, Qi Gong, Stress management, Combat sports, Bodywork, Body oriented psychotherapy, Psychotherapy (Psychological psychotherapists), Acupoint massage",https://www.local.ch/en/d/basel/4054/vocational-college/bio-medica-fachschule-fuer-massage-tcm-1dcFhAgf9F1DS1AWLPFg-A?dwhat=Cooking+School+cookery+courses&dwhere=Switzerland,4.5,"Schweizergasse 33, 4054 Basel",,,info@bio-medica-basel.ch,061 283 77 77,http://www.bio-medica-basel.ch,
Casa Vinicola di Misani Pietro,"Wine wine trade, Winery, Distillery, Wine store, Spirits, Wine tasting",https://www.local.ch/en/d/brusio/7743/wine-wine-trade/casa-vinicola-di-misani-pietro-sL3J1tE0Mr3Qd-rnYJJL5Q?dwhat=Wine+tasting&dwhere=Switzerland,3.0,"Via Cantonale 288, 7743 Brusio",,,info@vini-misani.ch,081 846 51 81,http://www.vini-misani.ch,https://www.vini-misani.ch/it/contattarci
Chappuis Christophe,"Wine wine trade, Winery, Wine tasting, Winemakers",https://www.local.ch/en/d/rivaz/1071/wine-wine-trade/chappuis-christophe-JuP9E1XTMknngnrOTtbPmA?dwhat=Wine+tasting&dwhere=Switzerland,5.0,"En Bons Voisins 1, 1071 Rivaz",,,,021 946 24 02,http://www.domainechappuis.ch,http://www.domainechappuis.ch/fr/contact
Clos du Château - Dugerdil Lionel & Nathalie,"Winery, Events, Wine wine trade, Farm estate, Wine tasting, Wedding, Seminar",https://www.local.ch/en/d/satigny/1242/winery/clos-du-chateau-dugerdil-lionel-nathalie-WkjPUMnOhOfjKkC5-p_cTQ?dwhat=Wine+tasting&dwhere=Switzerland,,"Route du Crêt-de-Choully 29, 1242 Satigny",Currently closed,,info@closduchateau.ch,022 753 01 44,http://www.closduchateau.ch,http://www.closduchateau.ch/Nos-vins
"Escalier de la Dame, Granges Yves et Elisabeth","Winemakers, Winery, Wine tasting",https://www.local.ch/en/d/saxon/1907/winemakers/escalier-de-la-dame-granges-yves-et-elisabeth-6YRutmJoEyfTGDPaLamvLQ?dwhat=Wine+tasting&dwhere=Switzerland,5.0,"Rue de Gottefrey 19, 1907 Saxon",Currently closed,,info@escalierdeladame.ch,027 744 32 62,http://www.escalierdeladame.ch,http://www.escalierdeladame.ch/fr/contact.html
Forestier Jean-Paul - Caveau de la Pierraz,"Wine wine trade, Winemakers, Winery, Wine tasting",https://www.local.ch/en/d/chardonne/1803/wine-wine-trade/forestier-jean-paul-caveau-de-la-pierraz-rAM5WSw5rsFrAjftgR3OAA?dwhat=Wine+tasting&dwhere=Switzerland,5.0,"Chemin du Bugnon 1, 1803 Chardonne",Currently closed,,jean-paul@vins-forestier.ch,021 921 59 63,http://www.vins-forestier.ch,
Gil Vins Trouvailles de France,"Wine wine trade, Wine tasting",https://www.local.ch/en/d/birmensdorf-zh/8903/wine-wine-trade/gil-vins-trouvailles-de-france-bvXLX79MFX8FbLg3f29wEQ?dwhat=Wine+tasting&dwhere=Switzerland,5.0,"Weissenbrunnenstrasse 41, 8903 Birmensdorf ZH",,,weine@gilvins.ch,044 777 71 91,http://www.gilvins.ch,http://www.gilvins.ch/kontaktieren
Grotto Valle,"Wine cellar, Restaurant, Bar, Wine tasting, Banquet, Swiss cuisine, Restaurants according to speciality, Italian cuisine",https://www.local.ch/en/d/caslano/6987/wine-cellar/grotto-valle-usJzJ6m6LLOA5R7i9APAww?dwhat=Wine+tasting&dwhere=Switzerland,4.9,"Via Valle 29, 6987 Caslano",Currently closed,,mail@grottovalle.ch,091 225 37 37,https://www.grottovalle.com,
Huber Vini SA,"Wine wine trade, Winery, Wine store, Wine tasting, Winemakers, Viticulture",https://www.local.ch/en/d/monteggio/6998/wine-wine-trade/huber-vini-sa-YLYBkmSaiWO20sXctxvY1g?dwhat=Wine+tasting&dwhere=Switzerland,5.0,"via Monteggio 77, 6998 Monteggio",,,huber.mont@bluewin.ch,091 608 17 54,https://www.hubervini.ch,https://www.hubervini.ch/it/vino/ordinazione
Jacot Vins SA,"Wine wine trade, Wine store, Wine tasting",https://www.local.ch/en/d/saignelegier/2350/wine-wine-trade/jacot-vins-sa-vvpvV3_wqS7weFYaEdpY9g?dwhat=Wine+tasting&dwhere=Switzerland,3.5,"Chemin des Buissons 4, 2350 Saignelégier",Currently closed,,gerard@jacot-vins.ch,032 951 11 67,http://www.jacot-vins.ch,https://www.jacot-vins.ch/contact
Orologio,"Restaurant, Wine store, Wine tasting, Catering, Italian cuisine, Restaurants according to speciality",https://www.local.ch/en/d/lugano/6900/restaurant/orologio-0c0FX26Lva2kkEb5IW1bGg?dwhat=Wine+tasting&dwhere=Switzerland,4.4,"Via Giovanni Nizzola 2, 6900 Lugano",Currently closed,,,091 923 23 38,http://www.ristoranteorologiolugano.ch,
Borenco,"Pizzeria, Restaurant, Pizza Take Away, Bakery pastry shop, Ice cream parlors, Tea room",https://www.local.ch/en/d/minusio/6648/pizzeria/borenco-wr0Filu_1uikL77rrTT5Tw?dwhat=Pizza+Take+Away&dwhere=Switzerland,4.5,"Via San Gottardo 56, 6648 Minusio",Currently closed,,,091 743 44 67,http://www.ristoranteborenco.ch,http://www.ristoranteborenco.ch
EAT.ch GmbH,"Home delivery service, Pizza delivery, Restaurant, Pizza Take Away, Courier service",https://www.local.ch/en/d/zuerich/8004/home-delivery-service/eat-ch-gmbh-BN5dwXTZ8G1lOXilwHtApA?dwhat=Pizza+Take+Away&dwhere=Switzerland,2.9,"Werdstrasse 21, 8004 Zürich",Currently closed,,info@eat.ch,0848 74 99 21,https://www.eat.ch?utm_source=localch&utm_medium=referral&utm_campaign=localch,https://www.eat.ch?utm_source=localch&utm_medium=referral&utm_campaign=localch
FOODCORNER EBIKON,"Kebab Döner, Pizza Take Away",https://www.local.ch/en/d/ebikon/6030/kebab-doener/foodcorner-ebikon-vC05URH2C3jRlxbdtX7heg?dwhat=Pizza+Take+Away&dwhere=Switzerland,5.0,"Zentralstrasse 2, 6030 Ebikon",Currently closed,,,041 489 08 08,http://www.food-corner-ebikon.ch,
Fulmine,"Pizzeria, Pizza Take Away",https://www.local.ch/en/d/root/6037/pizzeria/fulmine-xMXTsmI7YEuYKBqc6omUBg?dwhat=Pizza+Take+Away&dwhere=Switzerland,5.0,"Luzernerstrasse 2A, 6037 Root",Currently closed,,,041 450 36 36,http://www.fulmine-root.ch,
la Gioconda,"Pizzeria, Restaurant, Bar, Italian cuisine, Restaurants according to speciality, Seminar, Wedding, Pizza Take Away",https://www.local.ch/en/d/cointrin/1216/pizzeria/la-gioconda-YHnLjWE5fJP0AioWDJvBiA?dwhat=Pizza+Take+Away&dwhere=Switzerland,3.7,"Avenue Louis-Casaï 81, 1216 Cointrin",Currently closed,,,022 798 96 05,http://www.restaurant-pizzeria-la-gioconda.ch,
La Tavernetta,"Restaurant, Pizza Take Away, Pizzeria, Italian cuisine, Restaurants according to speciality, Banquet",https://www.local.ch/en/d/agno/6982/restaurant/la-tavernetta-RX4O-QbM23FDo38-FOkQZQ?dwhat=Pizza+Take+Away&dwhere=Switzerland,4.5,"Strada Regina 140, 6982 Agno",Currently closed,,latavernetta.agno@gmail.com,091 604 56 49,http://www.latavernetta.ch,https://www.latavernetta.ch/contatti
le Boccalino,"Restaurant, Takeout, Italian cuisine, Restaurants according to speciality, Pizza Take Away, Pizzeria",https://www.local.ch/en/d/lausanne/1006/restaurant/le-boccalino-yepLnVBgO2srOtGP5pmR4A?dwhat=Pizza+Take+Away&dwhere=Switzerland,4.2,"Avenue d'Ouchy 76, 1006 Lausanne",Currently closed,,,021 616 35 39,http://www.boccalino.ch,
